"","spp","ncells","nrecords","span"
"343","Atriplex parishii",22,45,259044.91155269
"344","Erysimum concinnum",23,43,258752.602536796
"345","Lasthenia maritima",3,4,258445.877296726
"346","Artemisia norvegica",86,129,257838.290475471
"347","Leptosiphon nuttallii",96,129,257757.836680803
"348","Carex sartwelliana",66,97,257337.573432445
"349","Juncus tiehmii",103,139,257100.621351741
"350","Artemisia spinescens",140,198,256984.863901818
"351","Epilobium foliosum",53,64,256921.443292168
"352","Spirodela polyrhiza",30,38,256336.975194687
"353","Orobanche vallicola",24,30,256158.327876252
"354","Abronia turbinata",74,97,255895.577402547
"355","Eriogonum davidsonii",593,904,255877.419152949
"356","Nemacladus rigidus",4,7,255799.564121118
"357","Krascheninnikovia lanata",407,582,255780.227169938
"358","Aliciella lottiae",32,35,255759.643490178
"359","Anaphalis margaritacea",403,596,255692.136197127
"360","Eatonella nivea",12,17,255487.362142621
"361","Spiranthes romanzoffiana",139,177,255106.621537617
"362","Silene bernardina",237,338,254703.355967734
"363","Centromadia fitchii",240,352,254509.224409075
"364","Delphinium glaucum",142,216,253189.397832675
"365","Chenopodium pratericola",92,107,252733.221979652
"366","Cladium californicum",21,47,252262.796841154
"367","Astragalus agrestis",6,13,252124.627090961
"368","Malacothrix torreyi",4,5,252112.896740822
"369","Carlquistia muirii",26,56,252022.509053367
"370","Juncus parryi",277,370,251981.267169564
"371","Utricularia macrorhiza",71,89,251926.421272618
"372","Carex brevicaulis",29,54,251900.563427465
"373","Festuca saximontana",135,195,251579.56748518
"374","Carex buxbaumii",26,74,251421.897886587
"375","Chloracantha spinosa",64,103,251146.469774912
"376","Sedum stenopetalum",37,49,251018.045130394
"377","Phacelia divaricata",77,112,250950.21738671
"378","Carex aquatilis",91,119,250706.995999379
"379","Woodsia scopulina",109,155,250398.415808603
"380","Suaeda calceoliformis",91,145,250286.832408505
"381","Ophioglossum pusillum",5,7,250103.119766495
"382","Lathyrus lanszwertii",70,87,249974.853599328
"383","Astragalus sabulonum",41,63,249951.457404529
"384","Suaeda occidentalis",3,4,249869.300979639
"385","Bromus porteri",20,23,249859.873370809
"386","Limosella aquatica",73,106,249825.980310342
"387","Carex saliniformis",15,29,249659.424564657
"388","Mirabilis albida",105,146,249296.663748194
"389","Polemonium occidentale",109,159,249132.094876675
"390","Ranunculus canus",144,196,249072.79791434
"391","Phacelia mutabilis",443,548,249006.078571321
"392","Pediomelum californicum",66,104,248910.561818968
"393","Holocarpha virgata",223,344,248829.214440424
"394","Androsace septentrionalis",82,130,248537.887857403
"395","Rubus glaucifolius",61,92,248328.34788345
"396","Boechera stricta",133,171,248277.506617524
"397","Frasera speciosa",91,121,248265.721413999
"398","Amsinckia retrorsa",95,114,248170.812455966
"399","Viburnum edule",3,3,248030.194153652
"400","Phacelia argentea",27,49,247807.275223003
"401","Carex leporinella",61,84,247488.932870161
"402","Polygonum majus",19,20,246773.909752329
"403","Psilocarphus chilensis",59,74,246365.300166731
"404","Galium nuttallii",247,411,246345.16133687
"405","Ranunculus eschscholtzii",157,249,246299.486697636
"406","Carex leptopoda",110,148,246245.127764703
"407","Potamogeton zosteriformis",12,15,246041.765464636
"408","Myosurus apetalus",54,73,245980.332188013
"409","Abronia nana",67,108,245883.772017578
"410","Eremogone ferrisiae",50,77,245879.25163481
"411","Arenaria paludicola",19,47,245515.213453446
"412","Astragalus lemmonii",32,65,245508.550079503
"413","Horkelia californica",162,205,245419.278946762
"414","Sanicula maritima",12,34,244823.713286123
"415","Suaeda californica",79,121,244731.586612398
"416","Hydrocotyle ranunculoides",90,137,244691.4468066
"417","Phacelia tetramera",10,16,244648.164158191
"418","Ipomopsis polycladon",87,113,244491.496210644
"419","Artemisia nova",106,160,244475.493854237
"420","Saxifraga cespitosa",3,3,244350.9943423
"421","Arnica fulgens",10,10,244245.754671108
"422","Cleomella parviflora",64,104,244197.357421257
"423","Camissonia lacustris",9,13,244103.618661886
"424","Carex cusickii",54,111,243859.55902822
"425","Cypripedium fasciculatum",36,52,243771.924471256
"426","Chimaphila menziesii",231,288,243659.460970631
"427","Tiquilia nuttallii",123,164,243623.796509775
"428","Chloropyron molle",48,105,242966.81778674
"429","Carex hoodii",175,248,242920.238345449
"430","Downingia cuspidata",150,229,242834.71745577
"431","Gilia modocensis",112,147,242280.799275186
"432","Listera convallarioides",134,166,241791.289819475
"433","Keckiella rothrockii",165,306,241739.073012064
"434","Parnassia palustris",199,254,241669.386744459
"435","Eriogonum nummulare",56,93,241662.378122714
"436","Eriogonum maculatum",501,684,241004.716131608
"437","Anisocoma acaulis",502,657,240964.203097692
"438","Sidalcea hickmanii",79,177,240922.812433148
"439","Hymenoxys hoopesii",163,244,240865.422949748
"440","Eriophyllum lanosum",120,147,240784.611278314
"441","Symphyotrichum lanceolatum",49,87,240760.52234236
"442","Cardionema ramosissimum",260,401,240377.675252138
"443","Chenopodium leptophyllum",82,100,240337.628137217
"444","Ericameria nana",13,44,240330.079361182
"445","Anthoxanthum nitens",5,5,240274.472147325
"446","Cordylanthus ramosus",33,49,240272.607218362
"447","Euphorbia hooveri",38,77,240142.451646547
"448","Sclerolinon digynum",21,30,239897.268453609
"449","Eschscholzia rhombipetala",11,20,239876.348071574
"450","Juncus saximontanus",75,97,239773.17343166
"451","Spergularia atrosperma",21,38,239327.469214108
"452","Trisetum wolfii",41,54,239276.451850335
"453","Agastache urticifolia",250,349,239276.142522982
"454","Townsendia scapigera",30,44,239266.443662818
"455","Stanleya pinnata",395,600,238931.548978457
"456","Nemacladus capillaris",76,108,238748.07195588
"457","Carex spissa",127,174,238688.378271348
"458","Melica bulbosa",201,282,238645.060782298
"459","Galium boreale",23,28,238421.291419049
"460","Allium cratericola",57,75,238380.378591209
"461","Juncus triformis",50,87,238286.168934587
"462","Eremothera chamaenerioides",152,180,238074.186098227
"463","Loeseliastrum depressum",21,43,238071.706311197
"464","Eriogonum nutans",5,5,238041.80399197
"465","Glyceria striata",168,215,237956.315849124
"466","Potamogeton amplifolius",7,8,237566.757029105
"467","Micranthes odontoloma",199,280,237479.717193944
"468","Chorizanthe cuspidata",57,185,237412.955009618
"469","Lemna valdiviana",38,50,236844.769828775
"470","Claytonia nevadensis",38,71,236589.465042627
"471","Triteleia hyacinthina",437,549,235512.158228622
"472","Eriastrum sparsiflorum",65,86,235511.307127857
"473","Navarretia breweri",151,202,234855.484601044
"474","Orcuttia pilosa",49,121,234850.470738431
"475","Stellaria littoralis",28,56,234815.418708874
"476","Downingia bella",59,82,234575.981654744
"477","Lupinus luteolus",94,122,234038.425426331
"478","Astragalus minthorniae",56,90,233944.369392809
"479","Piperia transversa",109,123,233835.244810966
"480","Botrychium minganense",11,18,233107.044516831
"481","Loeflingia squarrosa",260,339,232967.853101308
"482","Eriogonum ovalifolium",380,570,232964.746167737
"483","Heterotheca villosa",62,89,232922.273673924
"484","Lagophylla glandulosa",111,172,232857.411451782
"485","Sphenopholis obtusata",21,32,232783.000176248
"486","Astragalus pomonensis",192,333,232476.456311055
"487","Brickellia microphylla",162,278,232379.818407493
"488","Packera multilobata",184,291,232224.559136646
"489","Cuscuta obtusiflora",3,3,232200.912630793
"490","Ladeania lanceolata",22,35,232011.150940123
"491","Argyrochosma limitanea",2,2,231932.880192761
"492","Primula hendersonii",426,524,231640.303226529
"493","Helianthus nuttallii",38,105,231600.987563792
"494","Microseris campestris",63,85,231550.675400449
"495","Pholistoma auritum",485,748,231497.724511266
"496","Sidalcea multifida",37,50,231419.174584307
"497","Mimulus layneae",259,348,231294.94973102
"498","Thelypodium milleflorum",17,24,230196.286735333
"499","Plagiobothrys trachycarpus",56,78,229806.621652991
"500","Boechera breweri",200,294,229457.026911806
"501","Allium parryi",73,113,229124.014851434
"502","Nemacaulis denudata",86,200,228921.098958379
"503","Mimulus douglasii",92,102,228899.447304214
"504","Phacelia hastata",447,580,228834.158478929
"505","Gentiana calycosa",114,164,228659.931047153
"506","Boechera divaricarpa",25,27,228599.704993117
"507","Populus tremuloides",241,326,228548.328030088
"508","Isoetes echinospora",9,9,228320.460788881
"509","Monolepis spathulata",23,30,228231.538394267
"510","Galium triflorum",286,344,227521.873278821
"511","Shepherdia argentea",76,130,227378.894997133
"512","Pellaea breweri",187,253,227216.450057826
"513","Ranunculus andersonii",22,25,227184.257746912
"514","Bromus ciliatus",93,141,227161.565536914
"515","Carex illota",129,177,227117.128971831
"516","Rhodiola integrifolia",219,302,226803.699245631
"517","Carex echinata",177,269,226719.066487777
"518","Ammannia robusta",62,77,226629.908877899
"519","Castilleja chromosa",78,91,226569.41253497
"520","Danthonia californica",694,1049,225938.290719755
"521","Ranunculus alismifolius",298,404,225930.177788481
"522","Penstemon procerus",78,117,225692.651302051
"523","Epilobium oregonense",135,169,225667.724573707
"524","Phlox douglasii",48,56,225131.262746224
"525","Cymopterus purpurascens",16,19,225087.955809274
"526","Carex comosa",12,22,224623.49124222
"527","Kochia americana",45,67,224618.069488819
"528","Potamogeton pusillus",69,95,224575.599267818
"529","Nama aretioides",44,55,224570.408057652
"530","Vaccinium deliciosum",14,14,224374.638672174
"531","Polygonum ramosissimum",25,34,224081.123546758
"532","Lewisia pygmaea",174,234,224077.439638165
"533","Lycopodium clavatum",19,38,223815.707116361
"534","Phleum alpinum",437,601,223698.467661897
"535","Pyrola asarifolia",107,155,223494.293506989
"536","Aliciella leptomeria",51,69,223424.44386465
"537","Linanthus bigelovii",188,219,223374.77327171
"538","Acmispon rubriflorus",6,10,223330.690853062
"539","Cerastium viride",5,7,223043.219460131
"540","Crepis monticola",60,88,223029.598606148
"541","Carex leporina",14,36,223025.405990005
"542","Gentianella amarella",106,144,223000.396625216
"543","Claytonia umbellata",7,8,222921.689584517
"544","Melica spectabilis",14,16,222858.576830417
"545","Spergularia marina",350,498,222829.21987341
"546","Lupinus affinis",41,55,222609.466973112
"547","Carex simulata",129,196,222338.766729454
"548","Sedella pentandra",13,20,222014.7185733
"549","Deinandra fasciculata",726,1143,221890.677838476
"550","Fremontodendron mexicanum",18,37,221776.228377484
"551","Potamogeton natans",82,114,221646.243792832
"552","Gentianopsis simplex",125,152,221458.580253981
"553","Carex phaeocephala",164,263,221416.61477173
"554","Monardella venosa",9,19,221386.590152036
"555","Thalictrum sparsiflorum",152,213,221322.014386525
"556","Trifolium obtusiflorum",290,376,221297.717108283
"557","Atriplex coronata",172,324,221019.737086656
"558","Lycopus americanus",95,116,220778.059138512
"559","Astragalus cimae",42,67,220739.794605092
"560","Eriastrum signatum",75,91,220658.166938121
"561","Antennaria microphylla",202,257,220618.084105262
"562","Poa douglasii",127,236,220345.798832346
"563","Calyptridium pygmaeum",18,28,220182.01037484
"564","Carex integra",185,267,220050.442752617
"565","Stellaria calycantha",69,78,219887.210884303
"566","Muhlenbergia andina",134,210,219634.647597017
"567","Chamerion angustifolium",437,576,219599.565816256
"568","Echinochloa muricata",66,78,219529.535485319
"569","Erigeron lonchophyllus",155,253,219337.009368178
"570","Stephanomeria elata",137,170,219021.282770202
"571","Myosotis laxa",18,26,218966.060110004
"572","Sparganium eurycarpum",84,134,218875.072586795
